,datadate,feature,value score,feature description,feature definition,month
0,2004-02-01,cash_conversion,0.00022800000000000026,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-02
1,2004-03-01,cash_conversion,-7.200000000000019e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-03
2,2004-04-01,cash_conversion,-0.0006319999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-04
3,2004-05-01,cash_conversion,-4.399999999999922e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-05
4,2004-06-01,cash_conversion,-0.0034400000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-06
5,2004-07-01,cash_conversion,-0.00174,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-07
6,2004-08-01,cash_conversion,-0.002156000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-08
7,2004-09-01,cash_conversion,0.0009679999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-09
8,2004-10-01,cash_conversion,0.0009440000000000004,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-10
9,2004-11-01,cash_conversion,-0.00024000000000000063,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-11
10,2004-12-01,cash_conversion,0.0005560000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2004-12
11,2005-01-01,cash_conversion,0.000848000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-01
12,2005-02-01,cash_conversion,0.0018840000000000007,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-02
13,2005-03-01,cash_conversion,0.0,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-03
